Location,Population,%_ofworld,Date
Jamaica,2825544,0.03%,01-Jul-19
Moldova,2423300,0.03%,01-Jan-24
Gambia,2417471,0.03%,01-Jul-22
Botswana,2410338,0.03%,01-Jul-21
Gabon,2408586,0.03%,01-Jul-24
Albania,2402113,0.03%,18-Sep-23
Lesotho,2306000,0.03%,01-Jul-23
Slovenia,2124709,0.03%,01-Apr-24
Latvia,1859800,0.02%,01-Aug-24
North Macedonia,1826247,0.02%,31-Dec-23
Guinea-Bissau,1781308,0.02%,01-Jul-23
Kosovo,1762220,0.02%,31-Dec-22
Bahrain,1588670,0.02%,01-Jul-24
Equatorial Guinea,1558160,0.02%,01-Jul-22
Estonia,1374687,0.02%,01-Jan-24
East Timor,1373024,0.02%,01-Jul-24
Trinidad and Tobago,1367510,0.02%,30-Jun-23
Mauritius,1259509,0.02%,01-Jul-24
Eswatini,1235549,0.02%,01-Jul-24
Djibouti,1001454,0.01%,01-Jul-22
Cyprus,918100,0.01%,01-Oct-21
Comoros,900141,0.01%,2024
Fiji,893468,0.01%,01-Jul-21
Bhutan,777224,0.01%,2024
Guyana,772975,0.01%,01-Jul-21
Solomon Islands,750325,0.01%,01-Jul-24
Macau(China),687000,0.01%,30-Jun-24
Luxembourg,672020,0.01%,01-Jan-24
Montenegro,616695,0.01%,01-Jan-23
Suriname,616500,0.01%,01-Jul-21
Western Sahara,587259,0.01%,01-Jul-23
Malta,542051,0.01%,31-Dec-22
Maldives,515132,0.01%,13-Sep-22
Cape Verde,491233,0.01%,16-Jun-21
Brunei,445400,0.01%,01-Jul-22
Belize,410919,0.01%,01-Jul-24
Bahamas,397360,0.01%,01-Jul-22
Iceland,386970,0.01%,01-Jul-24
Northern Cyprus,382836,0.01%,31-Dec-20
Transnistria,360938,0.00%,31-Dec-22
Vanuatu,321409,0.00%,01-Jul-24
French Polynesia(France),279890,0.00%,01-Jul-21
New Caledonia(France),268510,0.00%,01-Jan-23
Barbados,267800,0.00%,31-Dec-22
Abkhazia,244236,0.00%,01-Jan-22
Sao Tome and Principe,228319,0.00%,01-Jul-24
Samoa,205557,0.00%,06-Nov-21
Saint Lucia,184100,0.00%,01-Jul-23
Guam(US),153836,0.00%,01-Apr-20
Curasao(Netherlands),155826,0.00%,02-Sep-23
Seychelles,121355,0.00%,30-Jun-24
